"Statistic","CensusYear","Age Group","County and City","Socio Economic Group","Labour Force","UNIT","VALUE"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","All socio-economic groups","All persons aged 15 years and over","Number","3608662"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","All socio-economic groups","Persons at work","Number","1807360"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","All socio-economic groups","All unemployed persons","Number","424843"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","1376459"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","A. Employers and managers","All persons aged 15 years and over","Number","495057"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","A. Employers and managers","Persons at work","Number","285450"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","A. Employers and managers","All unemployed persons","Number","32362"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","177245"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","B. Higher professional","All persons aged 15 years and over","Number","214712"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","B. Higher professional","Persons at work","Number","145446"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","B. Higher professional","All unemployed persons","Number","9569"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","B. Higher professional","All persons aged 15 years and over not in labour force","Number","59697"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","C. Lower professional","All persons aged 15 years and over","Number","428978"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","C. Lower professional","Persons at work","Number","280300"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","C. Lower professional","All unemployed persons","Number","19753"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","C. Lower professional","All persons aged 15 years and over not in labour force","Number","128925"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","D. Non-manual","All persons aged 15 years and over","Number","732117"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","D. Non-manual","Persons at work","Number","467807"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","D. Non-manual","All unemployed persons","Number","71906"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","D. Non-manual","All persons aged 15 years and over not in labour force","Number","192404"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","E. Manual skilled","All persons aged 15 years and over","Number","324023"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","E. Manual skilled","Persons at work","Number","139495"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","E. Manual skilled","All unemployed persons","Number","70591"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","113937"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","F. Semi-skilled","All persons aged 15 years and over","Number","300910"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","F. Semi-skilled","Persons at work","Number","169380"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","F. Semi-skilled","All unemployed persons","Number","40154"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","91376"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","G. Unskilled","All persons aged 15 years and over","Number","131215"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","G. Unskilled","Persons at work","Number","54472"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","G. Unskilled","All unemployed persons","Number","27039"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","G. Unskilled","All persons aged 15 years and over not in labour force","Number","49704"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","H. Own account workers","All persons aged 15 years and over","Number","164157"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","H. Own account workers","Persons at work","Number","94525"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","H. Own account workers","All unemployed persons","Number","18572"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","H. Own account workers","All persons aged 15 years and over not in labour force","Number","51060"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","I. Farmers","All persons aged 15 years and over","Number","148979"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","I. Farmers","Persons at work","Number","76975"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","I. Farmers","All unemployed persons","Number","3999"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","I. Farmers","All persons aged 15 years and over not in labour force","Number","68005"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","J. Agricultural workers","All persons aged 15 years and over","Number","21133"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","J. Agricultural workers","Persons at work","Number","10247"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","J. Agricultural workers","All unemployed persons","Number","2465"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","8421"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","647381"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","Z. All others gainfully occupied and unknown","Persons at work","Number","83263"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","Z. All others gainfully occupied and unknown","All unemployed persons","Number","128433"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","State","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","435685"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","All socio-economic groups","All persons aged 15 years and over","Number","42463"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","All socio-economic groups","Persons at work","Number","19502"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","All socio-economic groups","All unemployed persons","Number","5908"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","17053"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","A. Employers and managers","All persons aged 15 years and over","Number","4990"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","A. Employers and managers","Persons at work","Number","2799"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","A. Employers and managers","All unemployed persons","Number","381"
"Population Aged 15 Years and Over 2011 to 2016","2011","All ages","Carlow","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","1810"
